codigo;familia;nombre;unidad;costo_unitario 
TEE-012;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 12"" (ASTM A-53)";UND;0
TEE-014;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 14"" (ASTM A-53)";UND;0
THN-034;TUBERIAS;"TEE HIERRO NEGRO, NPT, 150 LBS. Ø 3/4""";UND;0
YEE-004;TUBERIAS;"YEE ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;0
YEE-006;TUBERIAS;"YEE ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;0
YEE-008;TUBERIAS;"YEE ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;0
AAS120;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 1/2"" (ASTM A-53)";UND;0
AAS034;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 3/4"" (ASTM A-53)";UND;0
AAS001;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 1"" (ASTM A-53)";UND;0
AAS112;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2"" (ASTM A-53)";UND;0
AAS002;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 2"" (ASTM A-53)";UND;0
AAS003;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 3"" (ASTM A-53)";UND;0
AAS004;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;0
AAS006;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;0
AAS008;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;0
AAS010;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 10"" (ASTM A-53)";UND;0
AAS012;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 12"" (ASTM A-53)";UND;0
AAS014;TUBERIAS;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 14"" (ASTM A-53)";UND;0
BUSH012X014;TUBERIAS;"BUSHING 1/2"" NPT MACHO A 1/4 NPT HEMBRA";UND;0
BUSH034X014;TUBERIAS;"BUSHING 3/4"" NPT MACHO A 1/4 NPT HEMBRA";UND;0
BUSH034X012;TUBERIAS;"BUSHING 3/4"" NPT MACHO A 1/2 NPT HEMBRA";UND;0
SRC014;TUBERIAS;"SIFÓN RABO DE COCHINO 1/4""";UND;0
NHN-034;TUBERIAS;"NIPLE HEXAGONAL HIERRO NEGRO, NPT, 150 LBS, Ø 3/4""";UND;0
BC120;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 1/2"" (ASTM A-53)";UND;0
BC034;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 3/4"" (ASTM A-53)";UND;0
BC001;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 1"" (ASTM A-53)";UND;0
BC112;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 1 1/2"" (ASTM A-53)";UND;0
BC002;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 2"" (ASTM A-53)";UND;0
BC003;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 3"" (ASTM A-53)";UND;0
BC004;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 4"" (ASTM A-53)";UND;0
BC006;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 6"" (ASTM A-53)";UND;0
BC008;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 8"" (ASTM A-53)";UND;0
BC010;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 10"" (ASTM A-53)";UND;0
BC012;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 12"" (ASTM A-53)";UND;0
